PMID	Gene Name	Gene Type	Cell Name	Cell Type	Tissue Type	Experiment Type	Experimental Method	Title	Description of Gene	Interacting Gene	CellOntologyID
8814256	IL4	T Marker	T cell	Cancer cell	Lymph	low-throughput	Flow-throughput cytometry;Western blot	Severe combined immunodeficiency due to defective binding of the nuclear factor of activated T cells in T lymphocytes of two male siblings	Furthermore both childrens' T cells were unable to produce the cytokines IL-2, interferon-y (IFN-y), IL-4 and tumor necrosis factor-a (TNF-a).	JUN	CL_0000084
9020185	TAL1	TF Pmarker	T cell	Cancer cell	Lymph	low-throughput	Weston blot;RT-PCR;Flow cytometry	Transcriptional Activity of TAL1 in T Cell Acute Lymphoblastic Leukemia (T-ALL) Requires RBTN1 or -2 and Induces TALLA1, a Highly Specific Tumor Marker of T-ALL	Ectopic TAL1 and RBTN1 or -2, together with some endogenous T cell-specific cofactors like GATA3, constitute a highly collaborative set of transcription factors whose aberrant activity in T cells may lead to leukemogenesis by modulating expression of downstream genes such as TALLA1.	LMO1;GATA3;LMO2	CL_0000084
9020185	LMO1	TFMarker	T cell	Cancer cell	Lymph	low-throughput	Weston blot;RT-PCR;Flow cytometry	Transcriptional Activity of TAL1 in T Cell Acute Lymphoblastic Leukemia (T-ALL) Requires RBTN1 or -2 and Induces TALLA1, a Highly Specific Tumor Marker of T-ALL	Ectopic TAL1 and RBTN1 or -2, together with some endogenous T cell-specific cofactors like GATA3, constitute a highly collaborative set of transcription factors whose aberrant activity in T cells may lead to leukemogenesis by modulating expression of downstream genes such as TALLA1.	TAL1;LMO2;GATA3	CL_0000084
9020185	LMO2	TFMarker	T cell	Cancer cell	Lymph	low-throughput	Weston blot;RT-PCR;Flow cytometry	Transcriptional Activity of TAL1 in T Cell Acute Lymphoblastic Leukemia (T-ALL) Requires RBTN1 or -2 and Induces TALLA1, a Highly Specific Tumor Marker of T-ALL	Ectopic TAL1 and RBTN1 or -2, together with some endogenous T cell-specific cofactors like GATA3, constitute a highly collaborative set of transcription factors whose aberrant activity in T cells may lead to leukemogenesis by modulating expression of downstream genes such as TALLA1.	LMO1;TAL1;GATA3	CL_0000084
9020185	GATA3	TFMarker	T cell	Cancer cell	Lymph	low-throughput	Weston blot;RT-PCR;Flow cytometry	Transcriptional Activity of TAL1 in T Cell Acute Lymphoblastic Leukemia (T-ALL) Requires RBTN1 or -2 and Induces TALLA1, a Highly Specific Tumor Marker of T-ALL	Ectopic TAL1 and RBTN1 or -2, together with some endogenous T cell-specific cofactors like GATA3, constitute a highly collaborative set of transcription factors whose aberrant activity in T cells may lead to leukemogenesis by modulating expression of downstream genes such as TALLA1.	LMO1;TAL1;LMO2	CL_0000084
10595911	GATA4	TFMarker	Germ cell	Cancer cell	Gonad	low-throughput	Immunohistochemistry;Microscopic observation	Transcription Factor GATA-4 Is Expressed in Pediatric Yolk Sac Tumors 	We conclude that GATA-4 is a clinically useful marker of human YSTs and speculate that it may play a role in the maintenance of the malignant phenotype		CL_0000586
10595911	GATA4	TFMarker	Germ cell	Cancer cell	Gonad	low-throughput	Immunohistochemistry;Microscopic observation	Transcription Factor GATA-4 Is Expressed in Pediatric Yolk Sac Tumors 	We conclude that GATA-4 is a clinically useful marker of human YSTs and speculate that it may play a role in the maintenance of the malignant phenotype		CL_0000670
10665914	TTF1	TFMarker	Metastatic small cell lung carcinoma cell	Cancer cell	Lung	low-throughput	Immunohistochemistry;Microscopic observation	Differential Expression of Thyroid Transcription Factor 1 in Small Cell Lung Carcinoma and Merkel Cell Tumor 	These data indicate that TTF-1 is a sensitive (97%) and specific (100%) marker for SCLCs and can be used to differentiate SCLCs from Merkel cell tumors.	KRT20	
11211309	MITF	TFMarker	Melanocytes cell	Cancer cell	Lung	low-throughput	Microscopic observation	Clear Cell Sarcoma Shows Immunoreactivity for Microphthalmia Transcription Factor: Further Evidence for Melanocytic Differentiation	Recently, microphthalmia transcription factor expression was shown to be both a sensitive and specific marker of epithelioid melanoma.		
11776479	TP63	TFMarker	Basal cell	Cancer cell	Prostate	low-throughput	Immunohistochemistry	Cell differentiation lineage in the prostate 	However, a small fraction of adult prostatic basal epithelial cells co-expressed the full spectrum of basal and luminal epithelial cell markers (CK5, CK14, CK8, CK18, CK19, p63, GSTpi).		CL_0000646
11886515	MITF	TF	Melanocytes cell	Cancer cell	Nerve	low-throughput	RT-PCR;Western blot	Transcriptional Repression of the Microphthalmia Gene in Melanoma Cells Correlates With the Unresponsiveness of Target Genes to Ectopic Microphthalmia-Associated Transcription Factor	The transcription of these marker genes [tyrosinase, tyrosinase-related proteins 1 and 2 (TRP-1 and TRP-2)] is believed to be regulated by the microphthalmia transcription factor, a member of the basic helix loop helix leucine zipper (bHLH-LZ) family.		
12082635	IFI27	T Marker	Breast cancer cell	Cancer cell	Breast	low-throughput	Luciferase assays;Weston blot;Microscopic observation;Immunohistochemistry;EMSA	BRCA1 transactivates the cyclin-dependent kinase inhibitor p27	P27 protein is a marker expressed in breast cancer cells and is regulated by the breast cancer susceptibility gene BRCA1	BRCA1	
12082635	BRCA1	TF	Breast cancer cell	Cancer cell	Breast	low-throughput	Luciferase assays;Weston blot;Microscopic observation;Immunohistochemistry;EMSA	BRCA1 transactivates the cyclin-dependent kinase inhibitor p27	The transcription factor BRCA1 activates the expression of P27 in breast cancer cells	IFI27	
12360049	PAX5	TF	B cell	Cancer cell	Lymph	low-throughput	Immunohistochemistry;Microscopic observation;Flow-throughput cytometry;Immunohistochemistry	The Value of anti-pax-5 Immunostaining in Routinely Fixed and Paraffin-Embedded Sections: A Novel Pan pre-B and B-cell Marker	Pax-5 upregulates CD19 and Ig (CD79a)	CD79A;MS4A1;CD19	CL_0000236
12360049	CD19	T Marker	B cell	Cancer cell	Lymph	low-throughput	Immunohistochemistry;Microscopic observation;Flow-throughput cytometry;Immunohistochemistry	The Value of anti-pax-5 Immunostaining in Routinely Fixed and Paraffin-Embedded Sections: A Novel Pan pre-B and B-cell Marker	CD19 is upregulated by Pax-5	PAX5	CL_0000236
12360049	CD79A	T Marker	B cell	Cancer cell	Lymph	low-throughput	Immunohistochemistry;Microscopic observation;Flow-throughput cytometry;Immunohistochemistry	The Value of anti-pax-5 Immunostaining in Routinely Fixed and Paraffin-Embedded Sections: A Novel Pan pre-B and B-cell Marker	CD79a is upregulated by Pax-5	PAX5	CL_0000236
12360049	MS4A1	T Marker	B cell	Cancer cell	Lymph	low-throughput	Immunohistochemistry;Microscopic observation;Flow-throughput cytometry;Immunohistochemistry	The Value of anti-pax-5 Immunostaining in Routinely Fixed and Paraffin-Embedded Sections: A Novel Pan pre-B and B-cell Marker	There was a strong association between Pax-5 and CD20 expression.	PAX5	CL_0000236
14512183	MYBL2	TF	Nerve cell	Cancer cell	Lung	low-throughput	Western blot	Stimulation of the murineUchl1gene promoter bythe B-Myb transcription factor	It has been reported that human lung cancers frequently overexpress boththe ubiquitous cell cycle transcription factor B-MYB and the ubiquitin carboxyterminalhydrolase UCHL1.	UCHL1	CL_0002319
14512183	UCHL1	T Marker	Nerve cell	Cancer cell	Lung	low-throughput	Western blot	Stimulation of the murine Uchl1 gene promoter bythe B-Myb transcription factor	A possible explanation for the co-expression of these markers is that UCHL1 is subject to transcriptional regulation by B-MYB, and in tumors the ectopic expression of UCHL1 is a direct consequence of B-Myb overexpression.	MYBL2	CL_0002319
14533935	NEUROD1	TF Pmarker	Adenocarcinoma of stomach cell	Cancer cell	Stomach	low-throughput	Western blot;Immunohistochemistry;Microscopic observation	Neuroendocrine Tissue-specific Transcription Factor,BETA2/NeuroD, in Gastric Carcinomas: A Comparison with Chromogranin A and Synaptophysin Expressions	BETA2/NEUROD  (NEUROD)  is  a  basic  helix-loop-helixtype of transcription factor mainly involved in neuroen-docrine  differentiation.	NEUROD1	
14534133	TFAP2A	TF	Nerve cell	Cancer cell	Nerve	low-throughput + high-throughput	Immunohistochemistry;Weston blot;Microscopic observation;RT-PCR;RNA-seq	lockjawencodes a zebrafish tfap2arequired for early neural crestdevelopment	Low (allelic with montblanc)encodes a zebrafish TFAP2A,  one of a small family of transcription factorsimplicated in epidermal and  neural crest development.	HOXA2;DLX2	CL_0002319
14534133	DLX2	T Marker	Nerve cell	Cancer cell	Nerve	low-throughput + high-throughput	Immunohistochemistry;Weston blot;Microscopic observation;RT-PCR;RNA-seq	lockjawencodes a zebrafish tfap2arequired for early neural crestdevelopment	In the cranialneural crest, gene expression in the mandibular arch is unaffected in lowmutants, in contrast to the hyoid arch,which shows severe reductions in DLX2 and HOXA2 expression.	TFAP2A	CL_0002319
14534133	HOXA2	T Marker	Nerve cell	Cancer cell	Nerve	low-throughput + high-throughput	Immunohistochemistry;Weston blot;Microscopic observation;RT-PCR;RNA-seq	lockjawencodes a zebrafish tfap2arequired for early neural crestdevelopment	In the cranialneural crest, gene expression in the mandibular arch is unaffected in lowmutants, in contrast to the hyoid arch,which shows severe reductions in DLX2 and HOXA2 expression.	TFAP2A	CL_0002319
14550747	AHR	TF	Epithelial cell	Cancer cell	Epidermis	low-throughput	Flow cytometry;;Weston blot	Alteration of keratinocyte differentiation and senescenceby the tumor promoter dioxin	Many of the effects of dioxin are mediated by the aryl hydrocarbon receptor (AHR), aligand-activated bHLH (basic helix-loop-helix)/PAS transcription factor.	TP53;CDKN2A	CL_0000066
14550747	TP53	T Marker	Epithelial cell	Cancer cell	Epidermis	low-throughput	Flow cytometry;;Weston blot	Alteration of keratinocyte differentiation and senescenceby the tumor promoter dioxin	These changes were accompanied by decreases in the expression levels of key cell cycle regulatory proteins TP53, CDKN2A, andp14ARF.	AHR	CL_0000066
14550747	CDKN2A	T Marker	Epithelial cell	Cancer cell	Epidermis	low-throughput	Flow cytometry;;Weston blot	Alteration of keratinocyte differentiation and senescenceby the tumor promoter dioxin	These changes were accompanied by decreases in the expression levels of key cell cycle regulatory proteins TP53, CDKN2A, andp14ARF.	AHR	CL_0000066
14597395	MITF	TFMarker	Melanocytes cell	Cancer cell	Nerve	low-throughput	Western blot;RT-PCR	MITF-M plays an essential role in transcriptional activation and signaltransduction in Xiphophorus melanoma	A entral regulator of melanocyte specific gene expression, which is also a marker for melanomas, is thetranscription factor microphthalmia-associated transcription factor (MITF).	RANBP2	
14597395	RANBP2	TFMarker	Melanocytes cell	Cancer cell	Nerve	low-throughput	Western blot;RT-PCR	MITF-M plays an essential role in transcriptional activation and signaltransduction in Xiphophorus melanoma	The enzymatic conversion of tyrosine to melanin pigments requires tyrosinase and the two related proteins TRP-1 and -2.	MITF	
14599768	APEX1	TF Pmarker	Stem cell	Cancer cell	Blood	low-throughput	Weston blot	APE/Ref-1 and the mammalian response to genotoxic stress	Human apurinic/apyrimidinic endonuclease/redox factor-1 (hAPE/Ref-1) is a multifunctional protein involved in the repairof DNA damaged by oxidative or alkylating compounds as well as in the regulation of stress inducible transcription factors suchas AP-1, NF-KB, HIF-1 and p54.	JUN;HIF1A	CL_0000034
14599768	JUN	TF Pmarker	Stem cell	Cancer cell	Blood	low-throughput	Weston blot	APE/Ref-1 and the mammalian response to genotoxic stress	Human apurinic/apyrimidinic endonuclease/redox factor-1 (hAPE/Ref-1) is a multifunctional protein involved in the repairof DNA damaged by oxidative or alkylating compounds as well as in the regulation of stress inducible transcription factors suchas AP-1, NF-KB, HIF-1 and p54.	APEX1;HIF1A	CL_0000034
14599768	HIF1A	TF Pmarker	Stem cell	Cancer cell	Blood	low-throughput	Weston blot	APE/Ref-1 and the mammalian response to genotoxic stress	Human apurinic/apyrimidinic endonuclease/redox factor-1 (hAPE/Ref-1) is a multifunctional protein involved in the repairof DNA damaged by oxidative or alkylating compounds as well as in the regulation of stress inducible transcription factors suchas AP-1, NF-KB, HIF-1 and p54.	APEX1;JUN	CL_0000034
14608905	PAX5	TFMarker	B cell	Cancer cell	Lymph	low-throughput	Western blot;Microscopic observation;Immunohistochemistry	The B-cell Transcription Factors BSAP, Oct-2, and BOB.1 and the pan-B-cell Markers CD20, CD22, and CD79a Are Useful in the Differential Diagnosis of Classic Hodgkin Lymphoma	PAX5  is a marker expressed in B cell.	MS4A1;CD79A;CD22	CL_0000236
14608905	POU2F2	TFMarker	B cell	Cancer cell	Lymph	low-throughput	Western blot;Microscopic observation;Immunohistochemistry	The B-cell Transcription Factors BSAP, Oct-2, and BOB.1 and the pan-B-cell Markers CD20, CD22, and CD79a Are Useful in the Differential Diagnosis of Classic Hodgkin Lymphoma	POU2F2  is a marker expressed in B cell.	MS4A1;CD79A;CD22	CL_0000236
14608905	MS4A1	T Marker	B cell	Cancer cell	Lymph	low-throughput	Western blot;Microscopic observation;Immunohistochemistry	The B-cell Transcription Factors BSAP, Oct-2, and BOB.1 and the pan-B-cell Markers CD20, CD22, and CD79a Are Useful in the Differential Diagnosis of Classic Hodgkin Lymphoma	MS4A1  is a marker expressed in B cell.	POU2F2;PAX5	CL_0000236
14608905	CD22	T Marker	B cell	Cancer cell	Lymph	low-throughput	Western blot;Microscopic observation;Immunohistochemistry	The B-cell Transcription Factors BSAP, Oct-2, and BOB.1 and the pan-B-cell Markers CD20, CD22, and CD79a Are Useful in the Differential Diagnosis of Classic Hodgkin Lymphoma	CD22  is a marker expressed in B cell.	POU2F2;PAX5	CL_0000236
14608905	CD79A	T Marker	B cell	Cancer cell	Lymph	low-throughput	Western blot;Microscopic observation;Immunohistochemistry	The B-cell Transcription Factors BSAP, Oct-2, and BOB.1 and the pan-B-cell Markers CD20, CD22, and CD79a Are Useful in the Differential Diagnosis of Classic Hodgkin Lymphoma	CD79A  is a marker expressed in B cell.	POU2F2;PAX5	CL_0000236
14652811	NCAM1	TFMarker	Small cell	Cancer cell	Nerve	low-throughput + high-throughput	Immunohistochemistry;Survival analysis	Primary Esophageal Small Cell Carcinoma With Concomitant Invasive Squamous Cell Carcinoma or Carcinoma in Situ	Our study suggests that NCAM and ENO2 are useful markers in diagnosing esophageal SmCC, and KRT19 are useful for differentiating SqCC components from SmCC.	ENO2;KRT19	
14652811	ENO2	TFMarker	Small cell	Cancer cell	Nerve	low-throughput + high-throughput	Immunohistochemistry;Survival analysis	Primary Esophageal Small Cell Carcinoma With Concomitant Invasive Squamous Cell Carcinoma or Carcinoma in Situ	Our study suggests that NCAM and ENO2 are useful markers in diagnosing esophageal SmCC, and KRT19 are useful for differentiating SqCC components from SmCC.	NCAM1;KRT19	
14652811	KRT19	TFMarker	Small cell	Cancer cell	Nerve	low-throughput + high-throughput	Immunohistochemistry;Survival analysis	Primary Esophageal Small Cell Carcinoma With Concomitant Invasive Squamous Cell Carcinoma or Carcinoma in Situ	Our study suggests that NCAM and ENO2 are useful markers in diagnosing esophageal SmCC, and KRT19 are useful for differentiating SqCC components from SmCC.	NCAM1;ENO2	
15226394	HNF1A	TF Pmarker	Liver cell	Cancer cell	Liver	low-throughput	RT-PCR;Immunofluorescent staining;Western blot;Microscopic observation	Notch signaling controls hepatoblast differentiation by altering the expression of liver-enriched transcription factors 	Mature bile duct cells strongly expressed HNF1beta, but hardly expressed HNF1alpha, HNF4 and C/EBPalpha. Notch signal activation up-regulated HNF1beta, while down-regulated HNF1alpha, HNF4 and C/EBPalpha.These results suggest that Notch signaling contributes to the formation of a network of transcription factors suitable for bile duct cell differentiation.		CL_0000182
15226394	HNF4A	TF Pmarker	Liver cell	Cancer cell	Liver	low-throughput	RT-PCR;Immunofluorescent staining;Western blot;Microscopic observation	Notch signaling controls hepatoblast differentiation by altering the expression of liver-enriched transcription factors 	Mature bile duct cells strongly expressed HNF1beta, but hardly expressed HNF1alpha, HNF4 and C/EBPalpha. Notch signal activation up-regulated HNF1beta, while down-regulated HNF1alpha, HNF4 and C/EBPalpha.These results suggest that Notch signaling contributes to the formation of a network of transcription factors suitable for bile duct cell differentiation.		CL_0000182
15226394	HNF1B	TF Pmarker	Liver cell	Cancer cell	Liver	low-throughput	RT-PCR;Immunofluorescent staining;Western blot;Microscopic observation	Notch signaling controls hepatoblast differentiation by altering the expression of liver-enriched transcription factors 	Mature bile duct cells strongly expressed HNF1beta, but hardly expressed HNF1alpha, HNF4 and C/EBPalpha. Notch signal activation up-regulated HNF1beta, while down-regulated HNF1alpha, HNF4 and C/EBPalpha.These results suggest that Notch signaling contributes to the formation of a network of transcription factors suitable for bile duct cell differentiation.		CL_0000182
15248062	TP63	TF Pmarker	Epithelial cell	Cancer cell	Skin	low-throughput + high-throughput	DNA-seq;RT-PCR;qRT-PCR;Western blot;Microscopic observation	Molecular characterization and expression of p64 isoforms in human keloids	These results may indicate that aberrant P63 expression plays a role not only in malignant tumors but also in benign skin diseases that show hyperproliferation of epidermal cells in vivo. Moreover, this isoform of P63 could serve as a specific molecular marker for this human disease.		CL_0000066
15249855	HMGA1	TF Pmarker	Fibroblast cell	Cancer cell	Subcutaneous	low-throughput	Immunohistochemistry;Microscopic observation	Differential Expression of HMGA1 and HMGA2 in Dermatofibroma and Dermatofibrosarcoma Protuberans:Potential Diagnostic Applications, and Comparison with Histologic Findings, CD34, and Factor XIIIa Immunoreactivity	HMGA1 and HMGA2 genes,members of the high mobility group protein family genes, encode proteins that act as architectural transcription factors and are frequently dysregulated in a variety of benign or locally aggressive mesenchymal tumors	HMGA2	CL_0000057
15249855	HMGA2	TF Pmarker	Fibroblast cell	Cancer cell	Subcutaneous	low-throughput	Immunohistochemistry;Microscopic observation	Differential Expression of HMGA1 and HMGA2 in Dermatofibroma and Dermatofibrosarcoma Protuberans:Potential Diagnostic Applications, and Comparison with Histologic Findings, CD34, and Factor XIIIa Immunoreactivity	HMGA1 and HMGA2 genes,members of the high mobility group protein family genes, encode proteins that act as architectural transcription factors and are frequently dysregulated in a variety of benign or locally aggressive mesenchymal tumors	HMGA1	CL_0000057
15252308	CDX2	TF	Sinonasal adenocarcinomas cell	Cancer cell	Respiratory tract	low-throughput	Immunohistochemistry;Microscopic observation	Immunophenotypic Differences Between Intestinal-type and Low-grade Papillary Sinonasal Adenocarcinomas	Antibodies to complete CDX2 protein have been demonstrated to be an extremely sensitive and highly specific marker of both primary and metastatic intestinal adenocarcinomas.	KRT20;KRT7	
15252308	MUC2	I Marker	Sinonasal adenocarcinomas cell	Cancer cell	Respiratory tract	low-throughput	Immunohistochemistry;Microscopic observation	Immunophenotypic Differences Between Intestinal-type and Low-grade Papillary Sinonasal Adenocarcinomas	Antibodies to CDX2, a transcription factor gene highly specific for intestinal adenocarcinomas, MUC2, a mucin gene expressed in adenocarcinomas from various sites, and cytokeratins (CK) 7 and 20 were used to examine the two groups of tumors.	KRT20;KRT7	
15252308	KRT7	T Marker	Sinonasal adenocarcinomas cell	Cancer cell	Respiratory tract	low-throughput	Immunohistochemistry;Microscopic observation	Immunophenotypic Differences Between Intestinal-type and Low-grade Papillary Sinonasal Adenocarcinomas	Antibodies to CDX2, a transcription factor gene highly specific for intestinal adenocarcinomas, MUC2, a mucin gene expressed in adenocarcinomas from various sites, and cytokeratins (CK) 7 and 20 were used to examine the two groups of tumors.	CDX2;MUC2	
15252308	KRT20	T Marker	Sinonasal adenocarcinomas cell	Cancer cell	Respiratory tract	low-throughput	Immunohistochemistry;Microscopic observation	Immunophenotypic Differences Between Intestinal-type and Low-grade Papillary Sinonasal Adenocarcinomas	Antibodies to CDX2, a transcription factor gene highly specific for intestinal adenocarcinomas, MUC2, a mucin gene expressed in adenocarcinomas from various sites, and cytokeratins (CK) 7 and 20 were used to examine the two groups of tumors.	CDX2;MUC2	
15279630	TTF1	TFMarker	Epithelial lung tumours cell	Cancer cell	Lung	low-throughput	Immunohistochemistry	Expression of TTF-1 and cytokeratins in primary and secondaryepithelial lung tumours: correlation with histological typeand grade	TTF-1 is a very sensitive and specific marker to document the pulmonary origin of an adenocarcinoma if a thyroid origin is excluded.		
15459955	POU6F2	TF Pmarker	Kidney tumor cell	Cancer cell	Kidney	low-throughput + high-throughput	Weston blot;DNA-Seq;RT-PCR	Germline Mutations of the POU6F2 Gene in Wilms Tumors With Loss of Heterozygosity on Chromosome 7p14	Together with the finding of the expression of the POU6F2 homolog in both fetal and adult kidney, our observations suggest that the gene is a tumor suppressor and is involved in hereditary predisposition to WT. 		
15466176	GFI1	TF Pmarker	Lung carcinomas cell	Cancer cell	Lung	low-throughput + high-throughput	Immunohistochemistry;Western blot;RT-PCR;DNA-seq;Flow cytometry	Growth Factor Independence-1 Is Expressed in Primary Human Neuroendocrine Lung Carcinomas and Mediates the Differentiation of Murine Pulmonary Neuroendocrine Cells	The Drosophila orthologues of ASH1 (Achaete and Scute) and the growth factor independence-1 (GFI1) oncoprotein (Senseless) genetically interact to inhibit Notch signaling and specify fly sensory organ development	ASCL1	
15466176	ASCL1	TF Pmarker	Lung carcinomas cell	Cancer cell	Lung	low-throughput + high-throughput	Immunohistochemistry;Western blot;RT-PCR;DNA-seq;Flow cytometry	Growth Factor Independence-1 Is Expressed in Primary Human Neuroendocrine Lung Carcinomas and Mediates the Differentiation of Murine Pulmonary Neuroendocrine Cells	The Drosophila orthologues of ASH1 (Achaete and Scute) and the growth factor independence-1 (GFI1) oncoprotein (Senseless) genetically interact to inhibit Notch signaling and specify fly sensory organ development	GFI1	
15466453	IL2RA	T Marker	T cell	Cancer cell	Lymph	low-throughput	Western blot;Flow cytometry;qPCR;qRT-PCR;RT-PCR	Crucial role of FOXP3 in the development and function of human CD251CD41 regulatory T cells	We also show that some human T cell leukemia virus type 1 (HTLV-1)-infected T cell lines, which constitutively express the CD25 molecule, also express FOXP3.	FOXP3	CL_0000084
15492262	PAX5	TF	B cell	Cancer cell	Lymph	low-throughput	Immunohistochemistry;RT-PCR;Weston blot;Microscopic observation	PAX5 Expression in Acute Leukemias: Higher B-Lineage Specificity Than CD79a and Selective Association with t(8;21)-Acute Myelogenous Leukemia	The transcription factor PAX5 plays a key role in the commitment of hematopoietic precursors to the B-cell lineage	CD79A	CL_0000236
15492262	CD79A	T Marker	B cell	Cancer cell	Lymph	low-throughput	Immunohistochemistry;RT-PCR;Weston blot;Microscopic observation	PAX5 Expression in Acute Leukemias: Higher B-Lineage Specificity Than CD79a and Selective Association with t(8;21)-Acute Myelogenous Leukemia	Interestingly, PAX5(+) t(8;21)-AML also expressed CD79A and/or CD19 (major transcriptional targets of PAX5 in B-cells) in 10 of 12 evaluable cases.	PAX5	CL_0000236
15501955	JUN	TF Pmarker	Breast cancer cell	Cancer cell	Breast	low-throughput	qRT-PCR	Molecular Profiling of Inflammatory Breast Cancer: Identification of a Poor-Prognosis Gene Expression Signature	The 27 up-regulated genes mainly encoded transcription factors (JUN, EGR1, JUNB,FOS, FOSB, MYCN, and SNAIL1), growth factors (VEGF,DTR/HB-EGF, IGFBP7, IL6, ANGPT2, EREG, CCL3/MIP1A, and CCL5/RANTES) and growth factor receptors(TBXA2R, TNFRSF10A/TRAILR1, and ROBO2).	VEGFA;JUNB;ROBO2;FOSB;EREG;FOS;HBEGF;IL6;CCL3;CCL5;TNFRSF10A;MYCN;SNAI1;ANGPT2;TBXA2R;IGFBP7;EGR1	
15501955	EGR1	TF Pmarker	Breast cancer cell	Cancer cell	Breast	low-throughput	qRT-PCR	Molecular Profiling of Inflammatory Breast Cancer: Identification of a Poor-Prognosis Gene Expression Signature	The 27 up-regulated genes mainly encoded transcription factors (JUN, EGR1, JUNB,FOS, FOSB, MYCN, and SNAIL1), growth factors (VEGF,DTR/HB-EGF, IGFBP7, IL6, ANGPT2, EREG, CCL3/MIP1A, and CCL5/RANTES) and growth factor receptors(TBXA2R, TNFRSF10A/TRAILR1, and ROBO3).	VEGFA;JUNB;ROBO2;FOSB;EREG;FOS;HBEGF;IL6;CCL3;CCL5;JUN;TNFRSF10A;MYCN;SNAI1;ANGPT2;TBXA2R;IGFBP7	
